chunk_size;chunk_overlap;level;k;precision;recall;iou
12;0;token;5;19.3;22.95;11.81
12;0;char;5;19.91;23.36;12.36
12;0;token;10;15.22;33.42;11.09
12;0;char;10;15.94;34.21;11.75
12;0;token;15;12.26;39.34;9.83
12;0;char;15;12.68;39.96;10.25
12;5;token;5;22.58;24.09;13.2
12;5;char;5;22.9;24.26;13.54
12;5;token;10;18.76;39.42;14.06
12;5;char;10;19.35;40.4;14.71
12;5;token;15;15.94;46.77;13.08
12;5;char;15;16.23;47.85;13.5
25;0;token;5;19.1;45.9;15.23
25;0;char;5;19.98;45.2;15.83
25;0;token;10;13.51;60.54;12.14
25;0;char;10;14.36;60.34;12.92
25;0;token;15;10.7;68.34;9.95
25;0;char;15;11.24;68.48;10.44
25;5;token;5;21.36;48.36;17.36
25;5;char;5;22.08;48.13;17.92
25;5;token;10;15.19;63.41;13.69
25;5;char;10;15.87;63.5;14.31
25;5;token;15;12.0;71.66;11.16
25;5;char;15;12.47;71.77;11.59
25;12;token;5;27.12;53.41;21.65
25;12;char;5;27.82;53.05;22.27
25;12;token;10;18.38;67.3;16.36
25;12;char;10;19.1;67.23;17.05
25;12;token;15;14.06;73.39;13.07
25;12;char;15;14.69;73.43;13.66
50;0;token;5;18.03;75.78;16.66
50;0;char;5;19.62;76.13;18.1
50;0;token;10;10.88;86.95;10.53
50;0;char;10;11.66;87.38;11.28
50;0;token;15;7.79;90.52;7.64
50;0;char;15;8.29;90.84;8.13
50;5;token;5;18.92;76.91;17.54
50;5;char;5;20.22;77.45;18.77
50;5;token;10;10.61;83.46;10.23
50;5;char;10;11.2;83.95;10.8
50;5;token;15;8.14;90.7;8.0
50;5;char;15;8.56;90.9;8.41
50;12;token;5;20.35;76.46;18.89
50;12;char;5;21.73;76.77;20.15
50;12;token;10;11.93;85.12;11.47
50;12;char;10;12.66;85.52;12.16
50;12;token;15;9.12;92.53;8.98
50;12;char;15;9.65;92.8;9.49
50;25;token;5;24.03;77.87;22.18
50;25;char;5;25.94;78.72;24.03
50;25;token;10;14.2;88.26;13.77
50;25;char;10;15.15;88.56;14.68
50;25;token;15;10.46;92.16;10.28
50;25;char;15;11.11;92.31;10.92
100;0;token;5;11.32;83.86;11.01
100;0;char;5;12.14;83.99;11.8
100;0;token;10;6.39;92.49;6.37
100;0;char;10;6.83;92.35;6.81
100;0;token;15;4.47;95.32;4.46
100;0;char;15;4.76;95.14;4.76
100;5;token;5;12.44;86.06;12.19
100;5;char;5;13.39;86.03;13.11
100;5;token;10;6.85;92.43;6.83
100;5;char;10;7.32;92.49;7.3
100;5;token;15;4.72;95.17;4.72
100;5;char;15;5.02;95.26;5.02
100;12;token;5;12.79;88.94;12.51
100;12;char;5;13.7;89.17;13.39
100;12;token;10;7.08;95.71;7.06
100;12;char;10;7.53;95.73;7.52
100;12;token;15;4.91;97.81;4.91
100;12;char;15;5.22;97.79;5.21
100;25;token;5;12.47;84.34;12.01
100;25;char;5;13.39;84.76;12.88
100;25;token;10;7.77;95.84;7.75
100;25;char;10;8.31;95.99;8.28
100;25;token;15;5.39;98.64;5.39
100;25;char;15;5.74;98.75;5.73
100;50;token;5;15.46;88.61;14.92
100;50;char;5;16.61;88.74;16.01
100;50;token;10;9.33;97.78;9.25
100;50;char;10;10.0;97.86;9.9
100;50;token;15;6.58;98.28;6.56
100;50;char;15;7.03;98.32;7.01
200;0;token;5;6.67;94.39;6.66
200;0;char;5;7.14;94.45;7.13
200;0;token;10;3.6;98.21;3.6
200;0;char;10;3.87;98.21;3.87
200;0;token;15;2.57;100.0;2.57
200;0;char;15;2.77;100.0;2.77
200;5;token;5;6.7;89.32;6.69
200;5;char;5;7.19;89.43;7.18
200;5;token;10;3.58;98.06;3.58
200;5;char;10;3.84;98.1;3.84
200;5;token;15;2.5;98.21;2.5
200;5;char;15;2.7;98.21;2.7
200;12;token;5;6.9;93.85;6.89
200;12;char;5;7.47;93.91;7.46
200;12;token;10;3.72;98.21;3.72
200;12;char;10;4.0;98.21;4.0
200;12;token;15;2.6;98.21;2.6
200;12;char;15;2.8;98.21;2.8
200;25;token;5;7.25;94.07;7.21
200;25;char;5;7.84;94.12;7.8
200;25;token;10;3.79;97.92;3.78
200;25;char;10;4.07;97.91;4.06
200;25;token;15;2.73;98.21;2.73
200;25;char;15;2.92;98.21;2.92
200;50;token;5;7.58;91.28;7.51
200;50;char;5;8.13;91.37;8.06
200;50;token;10;4.12;96.0;4.12
200;50;char;10;4.42;96.01;4.42
200;50;token;15;2.9;98.21;2.9
200;50;char;15;3.12;98.21;3.12
200;125;token;5;10.1;89.87;10.01
200;125;char;5;10.89;89.82;10.79
200;125;token;10;6.05;98.15;6.04
200;125;char;10;6.46;98.14;6.45
200;125;token;15;4.28;98.21;4.28
200;125;char;15;4.56;98.21;4.56
400;0;token;5;3.59;98.21;3.59
400;0;char;5;3.88;98.21;3.88
400;0;token;10;2.15;100.0;2.15
400;0;char;10;2.35;100.0;2.35
400;0;token;15;1.55;100.0;1.55
400;0;char;15;1.72;100.0;1.72
400;5;token;5;3.72;96.43;3.72
400;5;char;5;3.99;96.43;3.99
400;5;token;10;2.17;98.21;2.17
400;5;char;10;2.36;98.21;2.36
400;5;token;15;1.57;100.0;1.57
400;5;char;15;1.74;100.0;1.74
400;12;token;5;3.72;96.43;3.72
400;12;char;5;4.03;96.43;4.03
400;12;token;10;2.24;100.0;2.24
400;12;char;10;2.42;100.0;2.42
400;12;token;15;1.59;100.0;1.59
400;12;char;15;1.76;100.0;1.76
400;25;token;5;3.8;95.81;3.8
400;25;char;5;4.11;95.85;4.11
400;25;token;10;2.41;98.21;2.41
400;25;char;10;2.6;98.21;2.6
400;25;token;15;1.67;100.0;1.67
400;25;char;15;1.84;100.0;1.84
400;50;token;5;4.02;96.43;4.02
400;50;char;5;4.33;96.43;4.33
400;50;token;10;2.36;100.0;2.36
400;50;char;10;2.53;100.0;2.53
400;50;token;15;1.67;100.0;1.67
400;50;char;15;1.83;100.0;1.83
400;125;token;5;4.39;98.21;4.39
400;125;char;5;4.72;98.21;4.72
400;125;token;10;2.6;100.0;2.6
400;125;char;10;2.81;100.0;2.81
400;125;token;15;1.85;100.0;1.85
400;125;char;15;2.01;100.0;2.01
