chunk_size;chunk_overlap;level;k;precision;recall;iou
12;0;token;5;6.35;6.39;3.37
12;0;char;5;6.72;6.73;3.65
12;0;token;10;4.91;9.37;3.18
12;0;char;10;5.15;10.06;3.41
12;0;token;15;4.11;10.82;2.92
12;0;char;15;4.37;11.65;3.15
12;5;token;5;6.18;5.9;3.21
12;5;char;5;6.58;6.32;3.48
12;5;token;10;5.45;9.3;3.48
12;5;char;10;5.61;9.82;3.63
12;5;token;15;4.45;10.7;3.15
12;5;char;15;4.68;11.3;3.33
25;0;token;5;6.12;11.39;4.3
25;0;char;5;6.19;11.98;4.49
25;0;token;10;5.45;18.31;4.44
25;0;char;10;5.39;19.08;4.46
25;0;token;15;4.65;22.57;4.01
25;0;char;15;4.68;23.74;4.08
25;5;token;5;6.5;11.94;4.49
25;5;char;5;6.6;12.81;4.73
25;5;token;10;5.31;17.04;4.29
25;5;char;10;5.43;18.23;4.47
25;5;token;15;4.56;21.48;3.9
25;5;char;15;4.66;22.47;4.03
25;12;token;5;8.9;16.37;6.4
25;12;char;5;8.89;17.02;6.57
25;12;token;10;7.15;21.71;5.64
25;12;char;10;7.22;22.58;5.79
25;12;token;15;5.93;25.48;5.06
25;12;char;15;5.95;26.45;5.13
50;0;token;5;8.51;23.37;6.98
50;0;char;5;8.49;23.79;7.09
50;0;token;10;5.45;29.59;4.93
50;0;char;10;5.47;30.02;4.96
50;0;token;15;4.6;35.04;4.29
50;0;char;15;4.63;35.27;4.32
50;5;token;5;7.59;21.04;6.05
50;5;char;5;7.76;21.76;6.31
50;5;token;10;6.46;33.23;5.78
50;5;char;10;6.55;34.04;5.9
50;5;token;15;5.01;38.21;4.67
50;5;char;15;5.11;39.02;4.78
50;12;token;5;8.61;22.12;6.93
50;12;char;5;8.47;22.45;6.93
50;12;token;10;6.06;31.29;5.41
50;12;char;10;6.11;31.73;5.48
50;12;token;15;5.36;39.88;5.01
50;12;char;15;5.46;40.27;5.1
50;25;token;5;9.38;25.82;7.68
50;25;char;5;9.2;25.71;7.62
50;25;token;10;7.03;36.43;6.35
50;25;char;10;7.01;36.38;6.34
50;25;token;15;5.74;42.99;5.37
50;25;char;15;5.76;43.03;5.39
100;0;token;5;9.54;37.26;8.5
100;0;char;5;9.41;37.5;8.47
100;0;token;10;6.14;45.69;5.78
100;0;char;10;6.24;45.8;5.88
100;0;token;15;5.23;54.62;5.05
100;0;char;15;5.36;54.81;5.18
100;5;token;5;10.02;38.01;8.69
100;5;char;5;9.9;38.25;8.69
100;5;token;10;6.82;48.68;6.43
100;5;char;10;7.01;48.92;6.6
100;5;token;15;5.42;57.41;5.25
100;5;char;15;5.61;57.69;5.42
100;12;token;5;9.96;40.22;8.86
100;12;char;5;9.91;40.33;8.89
100;12;token;10;6.9;52.25;6.54
100;12;char;10;7.01;52.33;6.64
100;12;token;15;5.68;61.16;5.51
100;12;char;15;5.84;61.34;5.66
100;25;token;5;9.06;37.55;8.01
100;25;char;5;9.02;37.51;8.01
100;25;token;10;6.4;50.55;6.05
100;25;char;10;6.47;50.51;6.12
100;25;token;15;5.66;60.43;5.49
100;25;char;15;5.8;60.63;5.62
100;50;token;5;10.5;43.36;9.55
100;50;char;5;10.4;43.39;9.52
100;50;token;10;6.8;53.39;6.48
100;50;char;10;6.92;53.46;6.58
100;50;token;15;5.7;61.94;5.56
100;50;char;15;5.85;61.73;5.69
200;0;token;5;9.0;47.62;8.46
200;0;char;5;8.96;47.58;8.44
200;0;token;10;6.38;62.31;6.21
200;0;char;10;6.5;62.25;6.32
200;0;token;15;4.82;68.09;4.73
200;0;char;15;4.98;67.87;4.88
200;5;token;5;9.68;49.55;9.03
200;5;char;5;9.61;49.25;8.97
200;5;token;10;6.43;62.36;6.26
200;5;char;10;6.54;62.19;6.35
200;5;token;15;4.82;68.36;4.73
200;5;char;15;4.96;68.1;4.85
200;12;token;5;9.54;48.68;8.93
200;12;char;5;9.44;48.46;8.85
200;12;token;10;6.21;60.33;6.04
200;12;char;10;6.29;60.17;6.11
200;12;token;15;4.68;67.25;4.58
200;12;char;15;4.81;66.98;4.7
200;25;token;5;9.65;50.73;9.02
200;25;char;5;9.65;50.52;9.03
200;25;token;10;6.26;61.88;6.07
200;25;char;10;6.4;61.8;6.19
200;25;token;15;4.65;67.12;4.56
200;25;char;15;4.82;66.95;4.72
200;50;token;5;9.0;49.81;8.43
200;50;char;5;8.98;49.76;8.44
200;50;token;10;6.16;62.57;5.98
200;50;char;10;6.31;62.48;6.11
200;50;token;15;4.76;70.79;4.68
200;50;char;15;4.93;70.62;4.83
200;125;token;5;9.52;52.98;9.03
200;125;char;5;9.54;52.93;9.05
200;125;token;10;6.33;64.2;6.15
200;125;char;10;6.37;64.01;6.19
200;125;token;15;4.97;70.95;4.88
200;125;char;15;5.08;70.58;4.97
400;0;token;5;8.56;53.66;8.1
400;0;char;5;8.53;53.23;8.09
400;0;token;10;5.76;66.16;5.58
400;0;char;10;5.87;65.72;5.68
400;0;token;15;4.27;70.45;4.18
400;0;char;15;4.4;70.1;4.3
400;5;token;5;8.59;53.66;8.12
400;5;char;5;8.56;53.23;8.11
400;5;token;10;5.78;66.4;5.6
400;5;char;10;5.9;65.97;5.71
400;5;token;15;4.26;70.45;4.18
400;5;char;15;4.4;70.1;4.3
400;12;token;5;8.59;53.66;8.13
400;12;char;5;8.56;53.23;8.11
400;12;token;10;5.78;66.16;5.61
400;12;char;10;5.89;65.72;5.71
400;12;token;15;4.26;70.21;4.17
400;12;char;15;4.39;69.85;4.29
400;25;token;5;8.67;54.22;8.19
400;25;char;5;8.63;53.78;8.16
400;25;token;10;5.76;66.4;5.59
400;25;char;10;5.88;65.97;5.69
400;25;token;15;4.27;70.45;4.18
400;25;char;15;4.4;70.1;4.3
400;50;token;5;8.75;54.84;8.27
400;50;char;5;8.73;54.43;8.26
400;50;token;10;5.74;66.49;5.56
400;50;char;10;5.86;66.09;5.67
400;50;token;15;4.26;71.07;4.18
400;50;char;15;4.4;70.74;4.3
400;125;token;5;8.8;54.09;8.33
400;125;char;5;8.76;53.6;8.3
400;125;token;10;5.82;67.02;5.65
400;125;char;10;5.94;66.61;5.75
400;125;token;15;4.29;71.07;4.2
400;125;char;15;4.42;70.74;4.32
