chunk_size;chunk_overlap;level;k;precision;recall;iou
12;0;token;5;7.56;9.34;4.56
12;0;char;5;7.57;9.66;4.6
12;0;token;10;6.29;14.43;4.63
12;0;char;10;6.27;15.13;4.68
12;0;token;15;5.42;18.24;4.35
12;0;char;15;5.43;18.94;4.39
12;5;token;5;9.75;11.43;5.83
12;5;char;5;9.67;11.77;5.83
12;5;token;10;7.72;16.42;5.59
12;5;char;10;7.66;16.71;5.57
12;5;token;15;6.53;19.63;5.15
12;5;char;15;6.52;20.0;5.16
25;0;token;5;10.39;21.18;7.89
25;0;char;5;10.23;21.38;7.83
25;0;token;10;7.49;29.9;6.51
25;0;char;10;7.43;30.2;6.49
25;0;token;15;6.13;37.76;5.65
25;0;char;15;6.11;38.11;5.64
25;5;token;5;9.96;20.16;7.63
25;5;char;5;9.81;20.29;7.55
25;5;token;10;7.75;30.88;6.78
25;5;char;10;7.5;30.62;6.59
25;5;token;15;6.56;37.49;6.04
25;5;char;15;6.42;37.29;5.92
25;12;token;5;11.72;23.16;9.07
25;12;char;5;11.68;23.37;9.07
25;12;token;10;8.67;31.35;7.56
25;12;char;10;8.61;31.48;7.53
25;12;token;15;7.19;36.98;6.58
25;12;char;15;7.17;37.23;6.58
50;0;token;5;11.72;38.84;10.48
50;0;char;5;11.59;38.76;10.41
50;0;token;10;7.56;50.83;7.23
50;0;char;10;7.54;51.03;7.23
50;0;token;15;5.84;58.17;5.69
50;0;char;15;5.84;58.48;5.71
50;5;token;5;10.98;38.34;9.84
50;5;char;5;10.85;38.28;9.76
50;5;token;10;7.85;52.75;7.5
50;5;char;10;7.79;52.96;7.48
50;5;token;15;6.12;61.98;5.96
50;5;char;15;6.11;62.19;5.96
50;12;token;5;11.27;38.18;10.16
50;12;char;5;11.13;37.97;10.07
50;12;token;10;7.56;50.85;7.21
50;12;char;10;7.52;50.67;7.18
50;12;token;15;6.36;61.98;6.18
50;12;char;15;6.32;61.9;6.16
50;25;token;5;12.47;41.57;11.26
50;25;char;5;12.31;41.59;11.17
50;25;token;10;8.77;55.13;8.39
50;25;char;10;8.71;55.4;8.36
50;25;token;15;6.64;60.47;6.44
50;25;char;15;6.61;60.65;6.42
100;0;token;5;10.91;55.38;10.4
100;0;char;5;10.73;55.61;10.24
100;0;token;10;6.49;67.78;6.37
100;0;char;10;6.42;67.86;6.3
100;0;token;15;5.1;77.6;5.05
100;0;char;15;5.08;77.78;5.04
100;5;token;5;10.48;55.08;9.98
100;5;char;5;10.32;55.32;9.85
100;5;token;10;6.62;70.8;6.51
100;5;char;10;6.58;71.05;6.48
100;5;token;15;5.09;78.08;5.05
100;5;char;15;5.07;78.28;5.03
100;12;token;5;10.97;55.22;10.45
100;12;char;5;10.88;55.61;10.38
100;12;token;10;6.86;72.02;6.76
100;12;char;10;6.82;72.3;6.72
100;12;token;15;5.21;77.75;5.16
100;12;char;15;5.19;78.0;5.15
100;25;token;5;10.74;56.96;10.2
100;25;char;5;10.54;57.12;10.04
100;25;token;10;6.86;72.28;6.74
100;25;char;10;6.78;72.36;6.67
100;25;token;15;5.27;79.54;5.22
100;25;char;15;5.23;79.64;5.19
100;50;token;5;11.34;56.93;10.86
100;50;char;5;11.19;57.25;10.74
100;50;token;10;6.93;71.35;6.82
100;50;char;10;6.88;71.6;6.78
100;50;token;15;5.33;79.54;5.28
100;50;char;15;5.31;79.87;5.27
200;0;token;5;8.57;66.68;8.35
200;0;char;5;8.5;66.86;8.28
200;0;token;10;5.45;78.42;5.4
200;0;char;10;5.44;78.53;5.39
200;0;token;15;4.15;83.17;4.13
200;0;char;15;4.15;83.37;4.13
200;5;token;5;8.71;67.37;8.51
200;5;char;5;8.63;67.48;8.42
200;5;token;10;5.39;79.86;5.34
200;5;char;10;5.38;79.95;5.33
200;5;token;15;4.2;83.22;4.17
200;5;char;15;4.19;83.36;4.17
200;12;token;5;8.59;66.03;8.4
200;12;char;5;8.54;66.26;8.35
200;12;token;10;5.35;79.36;5.31
200;12;char;10;5.35;79.52;5.31
200;12;token;15;4.1;82.66;4.08
200;12;char;15;4.12;82.86;4.1
200;25;token;5;8.43;66.3;8.24
200;25;char;5;8.41;66.57;8.22
200;25;token;10;5.52;79.93;5.48
200;25;char;10;5.51;80.14;5.48
200;25;token;15;4.14;84.96;4.12
200;25;char;15;4.15;85.12;4.13
200;50;token;5;8.6;68.03;8.43
200;50;char;5;8.55;68.16;8.38
